,Compared_Annots,MAE,Accuracy,F1_weighted,Krippendorf_alfa,Pearson_corr
0,4Cihan_vs_2Asli,0.46,0.66,0.69,0.49,0.82
1,4Cihan_vs_3Cihan,0.38,0.67,0.70,0.51,0.87
2,4Cihan_vs_1Asli,0.53,0.56,0.61,0.38,0.84
3,4Cihan_vs_5Ozan,0.35,0.69,0.73,0.54,0.86
4,2Asli_vs_3Cihan,0.43,0.64,0.66,0.50,0.82
5,2Asli_vs_1Asli,0.36,0.67,0.70,0.55,0.87
6,2Asli_vs_5Ozan,0.41,0.65,0.67,0.50,0.85
7,3Cihan_vs_1Asli,0.37,0.67,0.67,0.55,0.86
8,3Cihan_vs_5Ozan,0.39,0.65,0.65,0.51,0.85
9,1Asli_vs_5Ozan,0.46,0.60,0.60,0.45,0.85
